tenor_anos,tenor_label,di_base,di_stress_alta,di_stress_baixa
0.08333333333333333,1M,11.486060406328635,15.569459875368256,7.495574433652482
0.16666666666666666,2M,11.472799382795136,15.53973057020327,7.491806564485196
0.25,3M,11.460196829514068,15.510791919323559,7.488674390190783
0.5,6M,11.426146882730285,15.4285255178016,7.482881068708209
1.0,1A,11.373341230589519,15.282829653299016,7.485750492421921
1.5,1.5A,11.338023953936332,15.15928143779503,7.504751789534156
2.0,2A,11.317170816370998,15.054749333127546,7.536638271506304
3.0,3A,11.308985063360188,14.892306108841618,7.628603025904891
4.0,4A,11.332630696412128,14.778075040841621,7.744760409387551
5.0,5A,11.376599348039564,14.699127591104439,7.873417669669142
6.0,6A,11.43276873896451,14.645886677285954,8.006618491391281
7.0,7A,11.495475246241096,14.611271151444209,8.139078756067
8.0,8A,11.560832045466345,14.590056865280708,8.267410610172123
10.0,10A,11.689966931794975,14.573480131425377,8.504392882118372
15.0,15A,11.959946691069264,14.59465303302387,8.963313418972033
20.0,20A,12.145439770717546,14.63151454886798,9.264018649462741
30.0,30A,12.357224257105603,14.68369643016503,9.600738823118409
